ID,Name,Abstract
1,Adult,"Predict whether income exceeds $50K/yr based on census data.  Also known as "Census Income" dataset."
2,Adult,"Predict whether income exceeds $50K/yr based on census data.  Also known as "Census Income" dataset."
3,Annealing,"Steel annealing data"
4,"Anonymous Microsoft Web Data","Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited."
5,Arrhythmia,"Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups."
6,"Artificial Characters","Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet"
7,"Audiology (Original)","Nominal audiology dataset from Baylor"
8,"Audiology (Standardized)","Standardized version of the original audiology database"
9,"Auto MPG","Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
10,Automobile,"From 1985 Ward's Automotive Yearbook"
11,Badges,"Badges labeled with a "+" or "-" as a function of a person's name"
12,"Balance Scale","Balance scale weight & distance database"
13,Balloons,"Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment"
14,"Breast Cancer","Breast Cancer Data (Restricted Access)"
15,"Breast Cancer Wisconsin (Original)","Original Wisconsin Breast Cancer Database"
16,"Breast Cancer Wisconsin (Prognostic)","Prognostic Wisconsin Breast Cancer Database"
17,"Breast Cancer Wisconsin (Diagnostic)","Diagnostic Wisconsin Breast Cancer Database"
18,"Pittsburgh Bridges","Bridges database that has original and numeric-discretized datasets"
19,"Car Evaluation","Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
20,"Census Income","Predict whether income exceeds $50K/yr based on census data.  Also known as "Adult" dataset."
21,"Chess (King-Rook vs. King-Knight)","Knight Pin Chess End-Game Database Creator"
22,"Chess (King-Rook vs. King-Pawn)","King+Rook versus King+Pawn on a7 (usually abbreviated KRKPA7)."
23,"Chess (King-Rook vs. King)","Chess Endgame Database for White King and Rook against Black King (KRK)."
24,"Chess (Domain Theories)","6 different domain theories for generating legal moves of chess"
25,"Bach Chorales","Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp"
26,Connect-4,"Contains connect-4 positions"
27,"Credit Approval","This data concerns credit card applications; good mix of attributes"
28,"Japanese Credit Screening","Includes domain theory (generated by talking to Japanese domain experts); data in Lisp"
29,"Computer Hardware","Relative CPU Performance Data, described in terms of its cycle time, memory size, etc."
30,"Contraceptive Method Choice","Dataset is a subset of the 1987 National Indonesia Contraceptive Prevalence Survey."
31,Covertype,"Forest CoverType dataset"
32,"Cylinder Bands","Used in decision tree induction for mitigating process delays known as "cylinder bands" in rotogravure printing"
33,Dermatology,"Aim for this dataset is to determine the type of Eryhemato-Squamous Disease."
34,Diabetes,"This diabetes dataset is from AIM '94"
35,"DGP2 - The Second Data Generation Program","Generates application domains based on specific parameters, number of features, and proportion of positive to negative examples"
36,"Document Understanding","Five concepts, expressed as predicates, to be learned"
37,"EBL Domain Theories","Assorted small-scale domain theories"
38,Echocardiogram,"Data for classifying if patients will survive for at least one year after a heart attack"
39,Ecoli,"This data contains protein localization sites"
40,Flags,"From Collins Gem Guide to Flags, 1986"
41,"Function Finding","Cases collected mostly from investigations in physical science; intention is to evaluate function-finding algorithms"
42,"Glass Identification","From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
43,"Haberman's Survival","Dataset contains cases from study conducted on the survival of patients who had undergone surgery for breast cancer"
44,Hayes-Roth,"Topic: human subjects study"
45,"Heart Disease","4 databases: Cleveland, Hungary, Switzerland, and the VA Long Beach"
46,Hepatitis,"From G.Gong: CMU; Mostly Boolean or numeric-valued attribute types; Includes cost data (donated by Peter Turney)"
47,"Horse Colic","Well documented attributes; 368 instances with 28 attributes (continuous, discrete, and nominal); 30% missing values"
